ren min ri bao train: without trained word-embedding:

NEW BEST: epoch 0, best test F1, P ,R 0.58693893450.7067195814920.501876737423
NEW BEST: epoch 1, best test F1, P ,R 0.6459402403380.8819929488460.509563034037
NEW BEST: epoch 2, best test F1, P ,R 0.686437806790.8915837733840.558037944684
NEW BEST: epoch 3, best test F1, P ,R 0.7098220110680.8853680018380.592370069561
NEW BEST: epoch 4, best test F1, P ,R 0.7246172561120.860629019470.625728596867
NEW BEST: epoch 5, best test F1, P ,R 0.6978627639290.792076791670.623678917769
NEW BEST: epoch 6, best test F1, P ,R 0.7278764964380.9068065428420.60792200971
NEW BEST: epoch 7, best test F1, P ,R 0.7352606936680.8997274396010.621629238672
NEW BEST: epoch 8, best test F1, P ,R 0.7404006552350.895421748060.631134625485
NEW BEST: epoch 9, best test F1, P ,R 0.7386444921320.8827898195810.634964963298
NEW BEST: epoch 10, best test F1, P ,R 0.7352423880190.9062464807240.618529099038
NEW BEST: epoch 11, best test F1, P ,R 0.7417304091620.8555237473420.654654693125
NEW BEST: epoch 12, best test F1, P ,R 0.7407645875250.8636503224490.648492845339
NEW BEST: epoch 13, best test F1, P ,R 0.7349572320720.8699703960620.636220391745
NEW BEST: epoch 14, best test F1, P ,R 0.7426911994240.8964549028130.633952934244
NEW BEST: epoch 15, best test F1, P ,R 0.7441985654630.8610554667120.655269596854
NEW BEST: epoch 16, best test F1, P ,R 0.7375817531470.886815539920.631339593395
NEW BEST: epoch 17, best test F1, P ,R 0.7413188187270.8704356237260.645559242131

co-training（with crf）: windows=9
1, train: 3658 sentences, test: 1008 sentences
NEW BEST: epoch 0, best test P ,R, F1 0.535092404658  0.855654253502  0.658429181729
NEW BEST: epoch 1, best test P ,R, F1 0.707738944365  0.67799795012  0.692549293317
NEW BEST: epoch 3, best test P ,R, F1 0.733154990804  0.749060471472  0.741022391213
NEW BEST: epoch 4, best test P ,R, F1 0.735500318674  0.788520669628  0.761088211047
NEW BEST: epoch 5, best test P ,R, F1 0.752839987017  0.792449607106  0.772137150466
NEW BEST: epoch 9, best test P ,R, F1 0.758676351897  0.802869832593  0.780147730102
NEW BEST: epoch 11, best test P ,R, F1 0.761658841941  0.831397335155  0.795001633453
NEW BEST: epoch 14, best test P ,R, F1 0.792890520694  0.811581824394  0.802127300355
NEW BEST: epoch 18, best test P ,R, F1 0.800745509997  0.807311240178  0.804014971079
NEW BEST: epoch 45, best test P ,R, F1 0.77740758369  0.83703450632  0.806119930904
co-training win=7:
BEST RESULT: epoch 14 best test F1 0.820508488893 with the model elman-train
NEW BEST: epoch 14, best test P ,R, F1 0.811528822055  0.829689101469  0.820508488893


windows reset to =7, P will get improved, so is the F1
NEW BEST: epoch 0, best test P ,R, F1 0.787490122181  0.66761144035  0.722612672914
NEW BEST: epoch 1, best test P ,R, F1 0.820888524206  0.721772738985  0.76814654345
NEW BEST: epoch 2, best test P ,R, F1 0.831912302071  0.774336511208  0.802092508074
NEW BEST: epoch 3, best test P ,R, F1 0.870402179707  0.757279051791  0.809909611993
NEW BEST: epoch 5, best test P ,R, F1 0.914132379249  0.763669157434  0.83215408805
NEW BEST: epoch 6, best test P ,R, F1 0.8857421875  0.794589023448  0.837693206204
NEW BEST: epoch 9, best test P ,R, F1 0.882612633009  0.803607317702  0.841259137378
NEW BEST: epoch 11, best test P ,R, F1 0.898415278342  0.797577943829  0.844998908059
